GWAS	Method	AUC
AD1	NETWAS	0.541619246056
AD1	NETWAS	0.549868243657
AD1	NETWAS	0.582671633428
AD1	NETWAS	0.614888466724
AD1	NETWAS	0.57670757971
AD1	NETWAS	0.567762593455
AD1	NETWAS	0.599449775007
AD1	NETWAS	0.598749409066
AD1	NETWAS	0.634159473325
AD1	NETWAS	0.574271619421
AD1	NETWAS	0.574777196085
AD1	NETWAS	0.602089279148
AD1	NETWAS	0.578430042197
AD1	NETWAS	0.606851767549
AD1	NETWAS	0.547515451824
AD1	NETWAS	0.615109519724
AD1	NETWAS	0.574048377777
AD1	NETWAS	0.540684695253
AD1	NETWAS	0.621625111621
AD1	NETWAS	0.688761753016
AD1	NETWAS	0.595420482202
AD1	NETWAS	0.59459098629
AD1	NETWAS	0.575039833313
AD1	NETWAS	0.580618685763
AD1	NETWAS	0.575694237739
AD1	NETWAS	0.607856354945
AD1	NETWAS	0.640745101816
AD1	NETWAS	0.614811864199
AD1	NETWAS	0.623888169068
AD1	NETWAS	0.517850576926
AD1	NETWAS	0.662767233379
AD1	NETWAS	0.574906326055
AD1	NETWAS	0.56636623886
AD1	NETWAS	0.560888064013
AD1	NETWAS	0.634292980582
AD1	NETWAS	0.560347469053
AD1	NETWAS	0.636925918793
AD1	NETWAS	0.588132299126
AD1	NETWAS	0.611080226919
AD1	NETWAS	0.648490711397
AD1	NETWAS	0.620099627055
AD1	NETWAS	0.61835965542
AD1	NETWAS	0.596046434262
AD1	NETWAS	0.623638663702
AD1	NETWAS	0.595396407123
AD1	NETWAS	0.632434822195
AD1	NETWAS	0.561325792727
AD1	NETWAS	0.545836762208
AD1	NETWAS	0.565814700681
AD1	NETWAS	0.56270244953
AD1	NETWAS	0.606068233152
AD1	NETWAS	0.563345910738
AD1	NETWAS	0.528323236391
AD1	NETWAS	0.548590075815
AD1	NETWAS	0.655030378373
AD1	NETWAS	0.643141666521
AD1	NETWAS	0.571721849666
AD1	NETWAS	0.611682103899
AD1	NETWAS	0.595359200182
AD1	NETWAS	0.522212543554
AD1	NETWAS	0.639407840597
AD1	NETWAS	0.576447131126
AD1	NETWAS	0.596510426698
AD1	NETWAS	0.629278798172
AD1	NETWAS	0.52884413356
AD1	NETWAS	0.571489853448
AD1	NETWAS	0.641740934638
AD1	NETWAS	0.583577731865
AD1	NETWAS	0.57811268888
AD1	NETWAS	0.626956647348
AD1	NETWAS	0.604579955527
AD1	NETWAS	0.646032864672
AD1	NETWAS	0.571008351864
AD1	NETWAS	0.514887153538
AD1	NETWAS	0.615256158843
AD1	NETWAS	0.603001943515
AD1	NETWAS	0.549883564162
AD1	NETWAS	0.587298425928
AD1	NETWAS	0.566272127186
AD1	NETWAS	0.6099640187
AD1	NETWAS	0.565407612978
AD1	NETWAS	0.616492742458
AD1	NETWAS	0.62553402903
AD1	NETWAS	0.644634321433
AD1	NETWAS	0.623371649187
AD1	NETWAS	0.532617355068
AD1	NETWAS	0.547285644249
AD1	NETWAS	0.630565720589
AD1	NETWAS	0.641813159876
AD1	NETWAS	0.514046714408
AD1	NETWAS	0.516894139688
AD1	NETWAS	0.51920315865
AD1	NETWAS	0.605753068478
AD1	NETWAS	0.54193441073
AD1	NETWAS	0.520413478543
AD1	NETWAS	0.549340780558
AD1	NETWAS	0.610898569503
AD1	NETWAS	0.578055784147
AD1	NETWAS	0.656229755047
AD1	NETWAS	0.652611927232
AD1	NETWAS	0.572306217499
AD1	NETWAS	0.63639626705
AD1	NETWAS	0.587184616462
AD1	NETWAS	0.603492199674
AD1	NETWAS	0.561842312608
AD1	NETWAS	0.571231593508
AD1	NETWAS	0.663152434647
AD1	NETWAS	0.535324707159
AD1	NETWAS	0.642299038748
AD1	NETWAS	0.578202423266
AD1	NETWAS	0.544295957138
AD1	NETWAS	0.616529949399
AD1	NETWAS	0.534773168981
AD1	NETWAS	0.596910948471
AD1	NETWAS	0.62928974139
AD1	NETWAS	0.632859419046
AD1	NETWAS	0.528909792867
AD1	NETWAS	0.5712512913
AD1	NETWAS	0.659120953198
AD1	NETWAS	0.560601351706
AD1	NETWAS	0.608646455273
AD1	NETWAS	0.622984259275
AD1	NETWAS	0.545020398158
